"","exp","duration","mcv","mblock"
"1","Vis/Mix",0.3,0.441558781118317,1
"2","Vis/Mix",0.493169370364043,0.396091634136491,1
"3","Vis/Mix",0.810720092884221,0.312993313075751,1
"4","Vis/Mix",1.33274105916396,0.325465831149033,2
"5","Vis/Mix",2.19089023002067,0.26940604310979,2
"6","Vis/Mix",3.60159985092008,0.289030278806156,2
"7","Vis/Mix",5.92066243593828,0.278331956021891,3
"8","Vis/Mix",9.73296455223241,0.249793771452993,3
"9","Vis/Mix",16,0.260296402617268,3
"10","Vis/Block",0.3,0.392026274685088,1
"11","Vis/Block",0.493169370364043,0.268650310057675,1
"12","Vis/Block",0.810720092884221,0.24135937922508,1
"13","Vis/Block",1.33274105916396,0.31615540158375,2
"14","Vis/Block",2.19089023002067,0.301837590825854,2
"15","Vis/Block",3.60159985092008,0.267284565908347,2
"16","Vis/Block",5.92066243593828,0.318765892188502,3
"17","Vis/Block",9.73296455223241,0.283030893369029,3
"18","Vis/Block",16,0.2773253855748,3
"19","Aud/Mix",0.3,0.254554711564889,1
"20","Aud/Mix",0.493169370364043,0.245136448928406,1
"21","Aud/Mix",0.810720092884221,0.184258874582363,1
"22","Aud/Mix",1.33274105916396,0.221499648506309,2
"23","Aud/Mix",2.19089023002067,0.215398495927862,2
"24","Aud/Mix",3.60159985092008,0.218099652602203,2
"25","Aud/Mix",5.92066243593828,0.192000184806637,3
"26","Aud/Mix",9.73296455223241,0.20305130464736,3
"27","Aud/Mix",16,0.200219662274982,3
"28","Aud/Block",0.3,0.225132364323116,1
"29","Aud/Block",0.493169370364043,0.193862968607266,1
"30","Aud/Block",0.810720092884221,0.151964442528782,1
"31","Aud/Block",1.33274105916396,0.175894842468076,2
"32","Aud/Block",2.19089023002067,0.143950180568034,2
"33","Aud/Block",3.60159985092008,0.139544802163058,2
"34","Aud/Block",5.92066243593828,0.189781306519163,3
"35","Aud/Block",9.73296455223241,0.193145835149033,3
"36","Aud/Block",16,0.191197662942375,3
